country,measure,year,flights
AUT,CAF_PAS,2021,113633
BEL,CAF_PAS,2021,121561
BGR,CAF_PAS,2021,43345
CHE,CAF_PAS,2021,176825
CYP,CAF_PAS,2021,40687
CZE,CAF_PAS,2021,47675
DEU,CAF_PAS,2021,692251
DNK,CAF_PAS,2021,121123
EST,CAF_PAS,2021,16484
GRC,CAF_PAS,2021,317412
ESP,CAF_PAS,2021,810392
FIN,CAF_PAS,2021,63695
FRA,CAF_PAS,2021,609636
HRV,CAF_PAS,2021,49780
HUN,CAF_PAS,2021,38691
IRL,CAF_PAS,2021,83216
ISL,CAF_PAS,2021,30508
ITA,CAF_PAS,2021,568003
LTU,CAF_PAS,2021,25523
LUX,CAF_PAS,2021,25771
LVA,CAF_PAS,2021,28677
MNE,CAF_PAS,2021,12219
MKD,CAF_PAS,2021,11137
MLT,CAF_PAS,2021,25776
NLD,CAF_PAS,2021,271333
NOR,CAF_PAS,2021,233258
POL,CAF_PAS,2021,177032
PRT,CAF_PAS,2021,214682
ROU,CAF_PAS,2021,96567
RS,CAF_PAS,2021,
SWE,CAF_PAS,2021,125317
SVN,CAF_PAS,2021,5234
SVK,CAF_PAS,2021,18480
TUR,CAF_PAS,2021,638323
GBR,CAF_PAS,2021,
AUT,CAF_PAS_ARR,2021,58025
BEL,CAF_PAS_ARR,2021,60974
BGR,CAF_PAS_ARR,2021,22776
CHE,CAF_PAS_ARR,2021,89506
CYP,CAF_PAS_ARR,2021,20364
CZE,CAF_PAS_ARR,2021,23820
DEU,CAF_PAS_ARR,2021,377549
DNK,CAF_PAS_ARR,2021,69567
EST,CAF_PAS_ARR,2021,8231
GRC,CAF_PAS_ARR,2021,198986
ESP,CAF_PAS_ARR,2021,534065
FIN,CAF_PAS_ARR,2021,40145
FRA,CAF_PAS_ARR,2021,387228
HRV,CAF_PAS_ARR,2021,27926
HUN,CAF_PAS_ARR,2021,19334
IRL,CAF_PAS_ARR,2021,42135
ISL,CAF_PAS_ARR,2021,18381
ITA,CAF_PAS_ARR,2021,365838
LTU,CAF_PAS_ARR,2021,12781
