country,coverage,measure,year,month,flights
AUT,INTL,CAF_PAS,2022,M05,
BEL,INTL,CAF_PAS,2022,M05,
BGR,INTL,CAF_PAS,2022,M05,
CHE,INTL,CAF_PAS,2022,M05,
CYP,INTL,CAF_PAS,2022,M05,5781
CZE,INTL,CAF_PAS,2022,M05,
DEU,INTL,CAF_PAS,2022,M05,
DNK,INTL,CAF_PAS,2022,M05,
EST,INTL,CAF_PAS,2022,M05,
GRC,INTL,CAF_PAS,2022,M05,
ESP,INTL,CAF_PAS,2022,M05,98651
FIN,INTL,CAF_PAS,2022,M05,
FRA,INTL,CAF_PAS,2022,M05,
HRV,INTL,CAF_PAS,2022,M05,
HUN,INTL,CAF_PAS,2022,M05,
IRL,INTL,CAF_PAS,2022,M05,
ISL,INTL,CAF_PAS,2022,M05,3639
ITA,INTL,CAF_PAS,2022,M05,
LTU,INTL,CAF_PAS,2022,M05,
LUX,INTL,CAF_PAS,2022,M05,4845
LVA,INTL,CAF_PAS,2022,M05,
MNE,INTL,CAF_PAS,2022,M05,
MKD,INTL,CAF_PAS,2022,M05,
MLT,INTL,CAF_PAS,2022,M05,
NLD,INTL,CAF_PAS,2022,M05,
NOR,INTL,CAF_PAS,2022,M05,14120
POL,INTL,CAF_PAS,2022,M05,
PRT,INTL,CAF_PAS,2022,M05,
ROU,INTL,CAF_PAS,2022,M05,
RS,INTL,CAF_PAS,2022,M05,
SWE,INTL,CAF_PAS,2022,M05,
SVN,INTL,CAF_PAS,2022,M05,
SVK,INTL,CAF_PAS,2022,M05,
TUR,INTL,CAF_PAS,2022,M05,
GBR,INTL,CAF_PAS,2022,M05,
AUT,"NAT",CAF_PAS,2022,M05,
BEL,"NAT",CAF_PAS,2022,M05,
BGR,"NAT",CAF_PAS,2022,M05,
CHE,"NAT",CAF_PAS,2022,M05,
CYP,"NAT",CAF_PAS,2022,M05,9
CZE,"NAT",CAF_PAS,2022,M05,
DEU,"NAT",CAF_PAS,2022,M05,
DNK,"NAT",CAF_PAS,2022,M05,
EST,"NAT",CAF_PAS,2022,M05,
GRC,"NAT",CAF_PAS,2022,M05,
ESP,"NAT",CAF_PAS,2022,M05,31376
FIN,"NAT",CAF_PAS,2022,M05,
FRA,"NAT",CAF_PAS,2022,M05,
HRV,"NAT",CAF_PAS,2022,M05,
HUN,"NAT",CAF_PAS,2022,M05,
IRL,"NAT",CAF_PAS,2022,M05,
ISL,"NAT",CAF_PAS,2022,M05,1251
ITA,"NAT",CAF_PAS,2022,M05,
LTU,"NAT",CAF_PAS,2022,M05,
LUX,"NAT",CAF_PAS,2022,M05,0
LVA,"NAT",CAF_PAS,2022,M05,
MNE,"NAT",CAF_PAS,2022,M05,
MKD,"NAT",CAF_PAS,2022,M05,
MLT,"NAT",CAF_PAS,2022,M05,
NLD,"NAT",CAF_PAS,2022,M05,
NOR,"NAT",CAF_PAS,2022,M05,20332
POL,"NAT",CAF_PAS,2022,M05,
PRT,"NAT",CAF_PAS,2022,M05,
ROU,"NAT",CAF_PAS,2022,M05,
RS,"NAT",CAF_PAS,2022,M05,
SWE,"NAT",CAF_PAS,2022,M05,
SVN,"NAT",CAF_PAS,2022,M05,
SVK,"NAT",CAF_PAS,2022,M05,
TUR,"NAT",CAF_PAS,2022,M05,
GBR,"NAT",CAF_PAS,2022,M05,
AUT,TOTAL,CAF_PAS,2022,M05,
BEL,TOTAL,CAF_PAS,2022,M05,
BGR,TOTAL,CAF_PAS,2022,M05,
CHE,TOTAL,CAF_PAS,2022,M05,
CYP,TOTAL,CAF_PAS,2022,M05,5790
CZE,TOTAL,CAF_PAS,2022,M05,
DEU,TOTAL,CAF_PAS,2022,M05,
DNK,TOTAL,CAF_PAS,2022,M05,
EST,TOTAL,CAF_PAS,2022,M05,
GRC,TOTAL,CAF_PAS,2022,M05,
ESP,TOTAL,CAF_PAS,2022,M05,130027
FIN,TOTAL,CAF_PAS,2022,M05,
FRA,TOTAL,CAF_PAS,2022,M05,
HRV,TOTAL,CAF_PAS,2022,M05,
HUN,TOTAL,CAF_PAS,2022,M05,
IRL,TOTAL,CAF_PAS,2022,M05,
ISL,TOTAL,CAF_PAS,2022,M05,4890
ITA,TOTAL,CAF_PAS,2022,M05,
LTU,TOTAL,CAF_PAS,2022,M05,
LUX,TOTAL,CAF_PAS,2022,M05,4845
LVA,TOTAL,CAF_PAS,2022,M05,
MNE,TOTAL,CAF_PAS,2022,M05,
MKD,TOTAL,CAF_PAS,2022,M05,
MLT,TOTAL,CAF_PAS,2022,M05,
NLD,TOTAL,CAF_PAS,2022,M05,
NOR,TOTAL,CAF_PAS,2022,M05,34452
POL,TOTAL,CAF_PAS,2022,M05,
PRT,TOTAL,CAF_PAS,2022,M05,
ROU,TOTAL,CAF_PAS,2022,M05,
RS,TOTAL,CAF_PAS,2022,M05,
SWE,TOTAL,CAF_PAS,2022,M05,
SVN,TOTAL,CAF_PAS,2022,M05,
SVK,TOTAL,CAF_PAS,2022,M05,
TUR,TOTAL,CAF_PAS,2022,M05,
GBR,TOTAL,CAF_PAS,2022,M05,
AUT,INTL,CAF_PAS,2022,M04,16053
BEL,INTL,CAF_PAS,2022,M04,
BGR,INTL,CAF_PAS,2022,M04,
CHE,INTL,CAF_PAS,2022,M04,
CYP,INTL,CAF_PAS,2022,M04,5015
