country,coverage,year,quarter,flights
AUT,INTL,2022,Q1,35596
BEL,INTL,2022,Q1,
BGR,INTL,2022,Q1,8508
CHE,INTL,2022,Q1,62186
CYP,INTL,2022,Q1,8044
CZE,INTL,2022,Q1,13570
DEU,INTL,2022,Q1,176876
DNK,INTL,2022,Q1,35004
EST,INTL,2022,Q1,4953
GRC,INTL,2022,Q1,
ESP,INTL,2022,Q1,168732
FIN,INTL,2022,Q1,20750
FRA,INTL,2022,Q1,130865
HRV,INTL,2022,Q1,6392
HUN,INTL,2022,Q1,15273
IRL,INTL,2022,Q1,38215
ISL,INTL,2022,Q1,5794
ITA,INTL,2022,Q1,
LTU,INTL,2022,Q1,8294
LUX,INTL,2022,Q1,8100
LVA,INTL,2022,Q1,8942
MNE,INTL,2022,Q1,
MKD,INTL,2022,Q1,
MLT,INTL,2022,Q1,6287
NLD,INTL,2022,Q1,84591
NOR,INTL,2022,Q1,23950
POL,INTL,2022,Q1,46999
PRT,INTL,2022,Q1,53733
ROU,INTL,2022,Q1,
RS,INTL,2022,Q1,
SWE,INTL,2022,Q1,17503
SVN,INTL,2022,Q1,1681
SVK,INTL,2022,Q1,4710
TUR,INTL,2022,Q1,
GBR,INTL,2022,Q1,
AUT,"NAT",2022,Q1,620
BEL,"NAT",2022,Q1,
BGR,"NAT",2022,Q1,441
CHE,"NAT",2022,Q1,709
CYP,"NAT",2022,Q1,0
CZE,"NAT",2022,Q1,91
DEU,"NAT",2022,Q1,22659
DNK,"NAT",2022,Q1,6043
EST,"NAT",2022,Q1,592
GRC,"NAT",2022,Q1,
ESP,"NAT",2022,Q1,70221
FIN,"NAT",2022,Q1,6549
FRA,"NAT",2022,Q1,50732
HRV,"NAT",2022,Q1,1638
HUN,"NAT",2022,Q1,12
IRL,"NAT",2022,Q1,603
ISL,"NAT",2022,Q1,2313
ITA,"NAT",2022,Q1,
LTU,"NAT",2022,Q1,3
LUX,"NAT",2022,Q1,6
LVA,"NAT",2022,Q1,0
MNE,"NAT",2022,Q1,
MKD,"NAT",2022,Q1,
MLT,"NAT",2022,Q1,0
NLD,"NAT",2022,Q1,18
NOR,"NAT",2022,Q1,45126
POL,"NAT",2022,Q1,4328
PRT,"NAT",2022,Q1,10001
ROU,"NAT",2022,Q1,
RS,"NAT",2022,Q1,
SWE,"NAT",2022,Q1,6293
SVN,"NAT",2022,Q1,0
SVK,"NAT",2022,Q1,36
TUR,"NAT",2022,Q1,
GBR,"NAT",2022,Q1,
AUT,TOTAL,2022,Q1,36216
BEL,TOTAL,2022,Q1,
BGR,TOTAL,2022,Q1,8949
CHE,TOTAL,2022,Q1,62895
CYP,TOTAL,2022,Q1,8044
CZE,TOTAL,2022,Q1,13661
DEU,TOTAL,2022,Q1,199535
DNK,TOTAL,2022,Q1,41047
EST,TOTAL,2022,Q1,5545
GRC,TOTAL,2022,Q1,
ESP,TOTAL,2022,Q1,238953
FIN,TOTAL,2022,Q1,27299
FRA,TOTAL,2022,Q1,181597
HRV,TOTAL,2022,Q1,8030
HUN,TOTAL,2022,Q1,15285
IRL,TOTAL,2022,Q1,38818
ISL,TOTAL,2022,Q1,8107
ITA,TOTAL,2022,Q1,
LTU,TOTAL,2022,Q1,8297
LUX,TOTAL,2022,Q1,8106
LVA,TOTAL,2022,Q1,8942
MNE,TOTAL,2022,Q1,
MKD,TOTAL,2022,Q1,
MLT,TOTAL,2022,Q1,6287
NLD,TOTAL,2022,Q1,84609
NOR,TOTAL,2022,Q1,69076
POL,TOTAL,2022,Q1,51327
PRT,TOTAL,2022,Q1,63734
ROU,TOTAL,2022,Q1,
RS,TOTAL,2022,Q1,
SWE,TOTAL,2022,Q1,23796
SVN,TOTAL,2022,Q1,1681
SVK,TOTAL,2022,Q1,4746
TUR,TOTAL,2022,Q1,
GBR,TOTAL,2022,Q1,
AUT,INTL,2021,Q4,40019
BEL,INTL,2021,Q4,43273
BGR,INTL,2021,Q4,10003
CHE,INTL,2021,Q4,64343
CYP,INTL,2021,Q4,13442
CZE,INTL,2021,Q4,16721
DEU,INTL,2021,Q4,225740
DNK,INTL,2021,Q4,41216
EST,INTL,2021,Q4,5545
GRC,INTL,2021,Q4,48719
ESP,INTL,2021,Q4,193665
FIN,INTL,2021,Q4,21478
FRA,INTL,2021,Q4,144402
HRV,INTL,2021,Q4,10022
HUN,INTL,2021,Q4,16989
IRL,INTL,2021,Q4,37399
ISL,INTL,2021,Q4,6356
ITA,INTL,2021,Q4,139357
LTU,INTL,2021,Q4,9644
LUX,INTL,2021,Q4,9569
LVA,INTL,2021,Q4,11394
MNE,INTL,2021,Q4,2745
MKD,INTL,2021,Q4,2944
MLT,INTL,2021,Q4,9251
NLD,INTL,2021,Q4,94357
NOR,INTL,2021,Q4,27558
POL,INTL,2021,Q4,58333
PRT,INTL,2021,Q4,61705
ROU,INTL,2021,Q4,26187
RS,INTL,2021,Q4,
SWE,INTL,2021,Q4,33368
SVN,INTL,2021,Q4,1922
SVK,INTL,2021,Q4,4885
TUR,INTL,2021,Q4,119192
GBR,INTL,2021,Q4,
AUT,"NAT",2021,Q4,790
BEL,"NAT",2021,Q4,12
BGR,"NAT",2021,Q4,553
CHE,"NAT",2021,Q4,714
CYP,"NAT",2021,Q4,8
CZE,"NAT",2021,Q4,131
DEU,"NAT",2021,Q4,27610
DNK,"NAT",2021,Q4,7344
EST,"NAT",2021,Q4,618
GRC,"NAT",2021,Q4,22843
ESP,"NAT",2021,Q4,78886
FIN,"NAT",2021,Q4,6405
FRA,"NAT",2021,Q4,55438
HRV,"NAT",2021,Q4,1931
HUN,"NAT",2021,Q4,13
IRL,"NAT",2021,Q4,698
ISL,"NAT",2021,Q4,2930
ITA,"NAT",2021,Q4,54533
LTU,"NAT",2021,Q4,3
LUX,"NAT",2021,Q4,7
LVA,"NAT",2021,Q4,0
MNE,"NAT",2021,Q4,0
MKD,"NAT",2021,Q4,0
MLT,"NAT",2021,Q4,0
NLD,"NAT",2021,Q4,24
NOR,"NAT",2021,Q4,55159
POL,"NAT",2021,Q4,5003
PRT,"NAT",2021,Q4,11332
ROU,"NAT",2021,Q4,2714
RS,"NAT",2021,Q4,
SWE,"NAT",2021,Q4,15275
SVN,"NAT",2021,Q4,0
SVK,"NAT",2021,Q4,64
TUR,"NAT",2021,Q4,65776
GBR,"NAT",2021,Q4,
AUT,TOTAL,2021,Q4,40809
BEL,TOTAL,2021,Q4,43285
BGR,TOTAL,2021,Q4,10556
CHE,TOTAL,2021,Q4,65057
CYP,TOTAL,2021,Q4,13450
CZE,TOTAL,2021,Q4,16852
DEU,TOTAL,2021,Q4,253350
DNK,TOTAL,2021,Q4,48560
EST,TOTAL,2021,Q4,6163
GRC,TOTAL,2021,Q4,71562
ESP,TOTAL,2021,Q4,272551
FIN,TOTAL,2021,Q4,27883
FRA,TOTAL,2021,Q4,199840
HRV,TOTAL,2021,Q4,11953
HUN,TOTAL,2021,Q4,17002
IRL,TOTAL,2021,Q4,38097
ISL,TOTAL,2021,Q4,9286
ITA,TOTAL,2021,Q4,193890
LTU,TOTAL,2021,Q4,9647
LUX,TOTAL,2021,Q4,9576
LVA,TOTAL,2021,Q4,11394
MNE,TOTAL,2021,Q4,2745
MKD,TOTAL,2021,Q4,2944
MLT,TOTAL,2021,Q4,9251
NLD,TOTAL,2021,Q4,94381
NOR,TOTAL,2021,Q4,82717
POL,TOTAL,2021,Q4,63336
PRT,TOTAL,2021,Q4,73037
ROU,TOTAL,2021,Q4,28901
RS,TOTAL,2021,Q4,
SWE,TOTAL,2021,Q4,48643
SVN,TOTAL,2021,Q4,1922
SVK,TOTAL,2021,Q4,4949
TUR,TOTAL,2021,Q4,184968
GBR,TOTAL,2021,Q4,
AUT,INTL,2021,Q3,45001
BEL,INTL,2021,Q3,47988
BGR,INTL,2021,Q3,19210
CHE,INTL,2021,Q3,68648
CYP,INTL,2021,Q3,17928
CZE,INTL,2021,Q3,19353
DEU,INTL,2021,Q3,240215
DNK,INTL,2021,Q3,37677
EST,INTL,2021,Q3,4635
GRC,INTL,2021,Q3,135349
ESP,INTL,2021,Q3,229667
FIN,INTL,2021,Q3,13567
FRA,INTL,2021,Q3,165565
HRV,INTL,2021,Q3,24507
HUN,INTL,2021,Q3,15150
IRL,INTL,2021,Q3,29474
ISL,INTL,2021,Q3,8725
ITA,INTL,2021,Q3,165610
LTU,INTL,2021,Q3,9215
LUX,INTL,2021,Q3,9188
LVA,INTL,2021,Q3,10701
MNE,INTL,2021,Q3,6437
MKD,INTL,2021,Q3,4184
MLT,INTL,2021,Q3,10980
NLD,INTL,2021,Q3,99240
NOR,INTL,2021,Q3,20298
POL,INTL,2021,Q3,66509
PRT,INTL,2021,Q3,66052
ROU,INTL,2021,Q3,34612
RS,INTL,2021,Q3,16213
SWE,INTL,2021,Q3,30194
SVN,INTL,2021,Q3,2225
SVK,INTL,2021,Q3,7217
TUR,INTL,2021,Q3,162534
GBR,INTL,2021,Q3,
AUT,"NAT",2021,Q3,869
BEL,"NAT",2021,Q3,17
BGR,"NAT",2021,Q3,938
CHE,"NAT",2021,Q3,719
CYP,"NAT",2021,Q3,27
CZE,"NAT",2021,Q3,202
DEU,"NAT",2021,Q3,20909
DNK,"NAT",2021,Q3,7240
EST,"NAT",2021,Q3,666
GRC,"NAT",2021,Q3,36429
ESP,"NAT",2021,Q3,94863
FIN,"NAT",2021,Q3,4708
FRA,"NAT",2021,Q3,64256
HRV,"NAT",2021,Q3,2503
HUN,"NAT",2021,Q3,15
IRL,"NAT",2021,Q3,493
ISL,"NAT",2021,Q3,4244
ITA,"NAT",2021,Q3,72444
LTU,"NAT",2021,Q3,5
LUX,"NAT",2021,Q3,2
LVA,"NAT",2021,Q3,2
MNE,"NAT",2021,Q3,1
MKD,"NAT",2021,Q3,0
MLT,"NAT",2021,Q3,0
NLD,"NAT",2021,Q3,39
NOR,"NAT",2021,Q3,49546
POL,"NAT",2021,Q3,4460
PRT,"NAT",2021,Q3,15018
ROU,"NAT",2021,Q3,3185
RS,"NAT",2021,Q3,13
SWE,"NAT",2021,Q3,12224
SVN,"NAT",2021,Q3,0
SVK,"NAT",2021,Q3,54
TUR,"NAT",2021,Q3,82400
GBR,"NAT",2021,Q3,
AUT,TOTAL,2021,Q3,45870
BEL,TOTAL,2021,Q3,48005
BGR,TOTAL,2021,Q3,20148
CHE,TOTAL,2021,Q3,69367
CYP,TOTAL,2021,Q3,17955
CZE,TOTAL,2021,Q3,19555
DEU,TOTAL,2021,Q3,261124
DNK,TOTAL,2021,Q3,44917
EST,TOTAL,2021,Q3,5301
GRC,TOTAL,2021,Q3,171778
ESP,TOTAL,2021,Q3,324530
FIN,TOTAL,2021,Q3,18275
FRA,TOTAL,2021,Q3,229821
HRV,TOTAL,2021,Q3,27010
HUN,TOTAL,2021,Q3,15165
IRL,TOTAL,2021,Q3,29967
ISL,TOTAL,2021,Q3,12969
ITA,TOTAL,2021,Q3,238054
LTU,TOTAL,2021,Q3,9220
LUX,TOTAL,2021,Q3,9190
LVA,TOTAL,2021,Q3,10703
MNE,TOTAL,2021,Q3,6438
MKD,TOTAL,2021,Q3,4184
MLT,TOTAL,2021,Q3,10980
NLD,TOTAL,2021,Q3,99279
NOR,TOTAL,2021,Q3,69844
POL,TOTAL,2021,Q3,70969
PRT,TOTAL,2021,Q3,81070
ROU,TOTAL,2021,Q3,37797
RS,TOTAL,2021,Q3,16226
SWE,TOTAL,2021,Q3,42418
SVN,TOTAL,2021,Q3,2225
SVK,TOTAL,2021,Q3,7271
TUR,TOTAL,2021,Q3,244934
GBR,TOTAL,2021,Q3,
AUT,INTL,2021,Q2,17469
BEL,INTL,2021,Q2,18359
BGR,INTL,2021,Q2,7092
CHE,INTL,2021,Q2,27578
CYP,INTL,2021,Q2,7083
CZE,INTL,2021,Q2,7215
