country,coverage,year,flights
AUT,INTL,2021,111105
BEL,INTL,2021,121367
BGR,INTL,2021,41122
CHE,INTL,2021,174625
CYP,INTL,2021,40649
CZE,INTL,2021,46921
DEU,INTL,2021,621069
DNK,INTL,2021,97638
EST,INTL,2021,13995
GRC,INTL,2021,224279
ESP,INTL,2021,546211
FIN,INTL,2021,46703
FRA,INTL,2021,414152
HRV,INTL,2021,42614
HUN,INTL,2021,38649
IRL,INTL,2021,80730
ISL,INTL,2021,17738
ITA,INTL,2021,385536
LTU,INTL,2021,25514
LUX,INTL,2021,25757
LVA,INTL,2021,28675
MNE,INTL,2021,12218
MKD,INTL,2021,11137
MLT,INTL,2021,25775
NLD,INTL,2021,271237
NOR,INTL,2021,58544
POL,INTL,2021,162818
PRT,INTL,2021,172095
ROU,INTL,2021,86602
RS,INTL,2021,
SWE,INTL,2021,85322
SVN,INTL,2021,5234
SVK,INTL,2021,18245
TUR,INTL,2021,397833
GBR,INTL,2021,
AUT,"NAT",2021,2528
BEL,"NAT",2021,194
BGR,"NAT",2021,2223
CHE,"NAT",2021,2200
CYP,"NAT",2021,38
CZE,"NAT",2021,754
DEU,"NAT",2021,71182
DNK,"NAT",2021,23485
EST,"NAT",2021,2489
GRC,"NAT",2021,93133
ESP,"NAT",2021,264181
FIN,"NAT",2021,16992
FRA,"NAT",2021,195484
HRV,"NAT",2021,7166
HUN,"NAT",2021,42
IRL,"NAT",2021,2486
ISL,"NAT",2021,12770
ITA,"NAT",2021,182467
LTU,"NAT",2021,9
LUX,"NAT",2021,14
LVA,"NAT",2021,2
MNE,"NAT",2021,1
MKD,"NAT",2021,0
MLT,"NAT",2021,1
NLD,"NAT",2021,96
NOR,"NAT",2021,174714
POL,"NAT",2021,14214
PRT,"NAT",2021,42587
ROU,"NAT",2021,9965
RS,"NAT",2021,
SWE,"NAT",2021,39995
SVN,"NAT",2021,0
SVK,"NAT",2021,235
TUR,"NAT",2021,240490
GBR,"NAT",2021,
AUT,TOTAL,2021,113633
BEL,TOTAL,2021,121561
BGR,TOTAL,2021,43345
CHE,TOTAL,2021,176825
CYP,TOTAL,2021,40687
CZE,TOTAL,2021,47675
DEU,TOTAL,2021,692251
DNK,TOTAL,2021,121123
EST,TOTAL,2021,16484
GRC,TOTAL,2021,317412
ESP,TOTAL,2021,810392
FIN,TOTAL,2021,63695
FRA,TOTAL,2021,609636
HRV,TOTAL,2021,49780
HUN,TOTAL,2021,38691
IRL,TOTAL,2021,83216
ISL,TOTAL,2021,30508
ITA,TOTAL,2021,568003
LTU,TOTAL,2021,25523
LUX,TOTAL,2021,25771
LVA,TOTAL,2021,28677
MNE,TOTAL,2021,12219
MKD,TOTAL,2021,11137
MLT,TOTAL,2021,25776
NLD,TOTAL,2021,271333
NOR,TOTAL,2021,233258
POL,TOTAL,2021,177032
PRT,TOTAL,2021,214682
ROU,TOTAL,2021,96567
RS,TOTAL,2021,
SWE,TOTAL,2021,125317
SVN,TOTAL,2021,5234
SVK,TOTAL,2021,18480
TUR,TOTAL,2021,638323
GBR,TOTAL,2021,
AUT,INTL,2020,99165
BEL,INTL,2020,98889
BGR,INTL,2020,31438
CHE,INTL,2020,150663
CYP,INTL,2020,24053
CZE,INTL,2020,40877
DEU,INTL,2020,510636
DNK,INTL,2020,87977
EST,INTL,2020,12169
GRC,INTL,2020,123242
ESP,INTL,2020,363634
FIN,INTL,2020,50245
FRA,INTL,2020,326021
HRV,INTL,2020,23785
HUN,INTL,2020,36628
IRL,INTL,2020,84718
ISL,INTL,2020,11033
ITA,INTL,2020,292957
LTU,INTL,2020,20955
LUX,INTL,2020,21943
LVA,INTL,2020,26052
MNE,INTL,2020,6685
MKD,INTL,2020,6997
MLT,INTL,2020,18866
NLD,INTL,2020,227679
NOR,INTL,2020,62086
POL,INTL,2020,130890
PRT,INTL,2020,131216
ROU,INTL,2020,56548
RS,INTL,2020,26183
SWE,INTL,2020,77443
SVN,INTL,2020,3956
