country,coverage,year,quarter,passengers
AUT,INTL,2022,Q1,3706328
BEL,INTL,2022,Q1,
BGR,INTL,2022,Q1,1081017
CHE,INTL,2022,Q1,6802626
CYP,INTL,2022,Q1,821049
CZE,INTL,2022,Q1,1417653
DEU,INTL,2022,Q1,19298005
DNK,INTL,2022,Q1,3539633
EST,INTL,2022,Q1,421521
GRC,INTL,2022,Q1,
ESP,INTL,2022,Q1,22980082
FIN,INTL,2022,Q1,1840117
FRA,INTL,2022,Q1,16261227
HRV,INTL,2022,Q1,491474
HUN,INTL,2022,Q1,1996670
IRL,INTL,2022,Q1,4668415
ISL,INTL,2022,Q1,725483
ITA,INTL,2022,Q1,
LTU,INTL,2022,Q1,814054
LUX,INTL,2022,Q1,581802
LVA,INTL,2022,Q1,775354
MNE,INTL,2022,Q1,
MKD,INTL,2022,Q1,
MLT,INTL,2022,Q1,675651
NLD,INTL,2022,Q1,10117690
NOR,INTL,2022,Q1,2443003
POL,INTL,2022,Q1,5271281
PRT,INTL,2022,Q1,6725768
ROU,INTL,2022,Q1,
RS,INTL,2022,Q1,
SWE,INTL,2022,Q1,2882651
SVN,INTL,2022,Q1,125979
SVK,INTL,2022,Q1,191424
TUR,INTL,2022,Q1,
GBR,INTL,2022,Q1,
AUT,"NAT",2022,Q1,31828
BEL,"NAT",2022,Q1,
BGR,"NAT",2022,Q1,37172
CHE,"NAT",2022,Q1,57929
CYP,"NAT",2022,Q1,0
CZE,"NAT",2022,Q1,2193
DEU,"NAT",2022,Q1,1408252
DNK,"NAT",2022,Q1,282919
EST,"NAT",2022,Q1,8354
GRC,"NAT",2022,Q1,
ESP,"NAT",2022,Q1,7038756
FIN,"NAT",2022,Q1,451111
FRA,"NAT",2022,Q1,5179640
HRV,"NAT",2022,Q1,61250
HUN,"NAT",2022,Q1,44
IRL,"NAT",2022,Q1,18124
ISL,"NAT",2022,Q1,59159
ITA,"NAT",2022,Q1,
LTU,"NAT",2022,Q1,120
LUX,"NAT",2022,Q1,281
LVA,"NAT",2022,Q1,0
MNE,"NAT",2022,Q1,
MKD,"NAT",2022,Q1,
MLT,"NAT",2022,Q1,0
NLD,"NAT",2022,Q1,180
NOR,"NAT",2022,Q1,2705012
POL,"NAT",2022,Q1,218872
PRT,"NAT",2022,Q1,798148
ROU,"NAT",2022,Q1,
RS,"NAT",2022,Q1,
SWE,"NAT",2022,Q1,726083
SVN,"NAT",2022,Q1,0
SVK,"NAT",2022,Q1,152
TUR,"NAT",2022,Q1,
GBR,"NAT",2022,Q1,
AUT,TOTAL,2022,Q1,3738156
BEL,TOTAL,2022,Q1,
BGR,TOTAL,2022,Q1,1118189
CHE,TOTAL,2022,Q1,6860555
CYP,TOTAL,2022,Q1,821049
CZE,TOTAL,2022,Q1,1419846
DEU,TOTAL,2022,Q1,20706257
DNK,TOTAL,2022,Q1,3822552
