country,coverage,year,passengers
AUT,INTL,2021,11070208
BEL,INTL,2021,13498653
BGR,INTL,2021,4929362
CHE,INTL,2021,19103238
CYP,INTL,2021,4992067
CZE,INTL,2021,4774946
DEU,INTL,2021,69021436
DNK,INTL,2021,9745933
EST,INTL,2021,1254290
GRC,INTL,2021,26440404
ESP,INTL,2021,66202316
FIN,INTL,2021,3686860
FRA,INTL,2021,47176004
HRV,INTL,2021,4223400
HUN,INTL,2021,4666929
IRL,INTL,2021,9068388
ISL,INTL,2021,2160270
ITA,INTL,2021,38752025
LTU,INTL,2021,2468999
LUX,INTL,2021,2002745
LVA,INTL,2021,2336103
MNE,INTL,2021,1309182
MKD,INTL,2021,1266230
MLT,INTL,2021,2551970
NLD,INTL,2021,29096127
NOR,INTL,2021,5137684
POL,INTL,2021,18200040
PRT,INTL,2021,19268268
ROU,INTL,2021,9738583
RS,INTL,2021,
SWE,INTL,2021,8632121
SVN,INTL,2021,419346
SVK,INTL,2021,645690
TUR,INTL,2021,59730611
GBR,INTL,2021,
AUT,"NAT",2021,117192
BEL,"NAT",2021,17610
BGR,"NAT",2021,216918
CHE,"NAT",2021,190171
CYP,"NAT",2021,1622
CZE,"NAT",2021,21613
DEU,"NAT",2021,4843450
DNK,"NAT",2021,1098962
EST,"NAT",2021,38688
GRC,"NAT",2021,5794792
ESP,"NAT",2021,25974207
FIN,"NAT",2021,911378
FRA,"NAT",2021,19122926
HRV,"NAT",2021,254759
HUN,"NAT",2021,2439
IRL,"NAT",2021,38305
ISL,"NAT",2021,278525
ITA,"NAT",2021,21124383
LTU,"NAT",2021,255
LUX,"NAT",2021,618
LVA,"NAT",2021,76
MNE,"NAT",2021,84
MKD,"NAT",2021,0
MLT,"NAT",2021,3
NLD,"NAT",2021,2709
NOR,"NAT",2021,9521828
POL,"NAT",2021,787277
PRT,"NAT",2021,3035895
ROU,"NAT",2021,681957
RS,"NAT",2021,
SWE,"NAT",2021,2217787
SVN,"NAT",2021,0
SVK,"NAT",2021,955
TUR,"NAT",2021,34436240
GBR,"NAT",2021,
AUT,TOTAL,2021,11187400
BEL,TOTAL,2021,13516263
BGR,TOTAL,2021,5146280
CHE,TOTAL,2021,19293409
CYP,TOTAL,2021,4993689
CZE,TOTAL,2021,4796559
DEU,TOTAL,2021,73864886
DNK,TOTAL,2021,10844895
EST,TOTAL,2021,1292978
GRC,TOTAL,2021,32235196
ESP,TOTAL,2021,92176523
FIN,TOTAL,2021,4598238
FRA,TOTAL,2021,66298930
HRV,TOTAL,2021,4478159
HUN,TOTAL,2021,4669368
IRL,TOTAL,2021,9106693
ISL,TOTAL,2021,2438795
ITA,TOTAL,2021,59876408
LTU,TOTAL,2021,2469254
LUX,TOTAL,2021,2003363
LVA,TOTAL,2021,2336179
MNE,TOTAL,2021,1309266
MKD,TOTAL,2021,1266230
MLT,TOTAL,2021,2551973
NLD,TOTAL,2021,29098836
NOR,TOTAL,2021,14659512
POL,TOTAL,2021,18987317
PRT,TOTAL,2021,22304163
ROU,TOTAL,2021,10420540
RS,TOTAL,2021,
SWE,TOTAL,2021,10849908
SVN,TOTAL,2021,419346
SVK,TOTAL,2021,646645
TUR,TOTAL,2021,94166851
GBR,TOTAL,2021,
AUT,INTL,2020,9052088
BEL,INTL,2020,9516881
BGR,INTL,2020,3601253
CHE,INTL,2020,15868501
CYP,INTL,2020,2327823
CZE,INTL,2020,3825006
DEU,INTL,2020,52080395
DNK,INTL,2020,7877582
EST,INTL,2020,834019
GRC,INTL,2020,13518570
ESP,INTL,2020,41086607
