country,measure,year,passengers
AUT,PAS_BRD,2021,11187400
BEL,PAS_BRD,2021,13516263
BGR,PAS_BRD,2021,5146280
CHE,PAS_BRD,2021,19293409
CYP,PAS_BRD,2021,4993689
CZE,PAS_BRD,2021,4796559
DEU,PAS_BRD,2021,73864886
DNK,PAS_BRD,2021,10844895
EST,PAS_BRD,2021,1292978
GRC,PAS_BRD,2021,32235196
ESP,PAS_BRD,2021,92176523
FIN,PAS_BRD,2021,4598238
FRA,PAS_BRD,2021,66298930
HRV,PAS_BRD,2021,4478159
HUN,PAS_BRD,2021,4669368
IRL,PAS_BRD,2021,9106693
ISL,PAS_BRD,2021,2438795
ITA,PAS_BRD,2021,59876408
LTU,PAS_BRD,2021,2469254
LUX,PAS_BRD,2021,2003363
LVA,PAS_BRD,2021,2336179
MNE,PAS_BRD,2021,1309266
MKD,PAS_BRD,2021,1266230
MLT,PAS_BRD,2021,2551973
NLD,PAS_BRD,2021,29098836
NOR,PAS_BRD,2021,14659512
POL,PAS_BRD,2021,18987317
PRT,PAS_BRD,2021,22304163
ROU,PAS_BRD,2021,10420540
RS,PAS_BRD,2021,
SWE,PAS_BRD,2021,10849908
SVN,PAS_BRD,2021,419346
SVK,PAS_BRD,2021,646645
TUR,PAS_BRD,2021,94166851
GBR,PAS_BRD,2021,
AUT,PAS_CRD,2021,11105564
BEL,PAS_CRD,2021,13500020
BGR,PAS_CRD,2021,5047877
CHE,PAS_CRD,2021,19231449
CYP,PAS_CRD,2021,4649499
CZE,PAS_CRD,2021,4755160
DEU,PAS_CRD,2021,73597370
DNK,PAS_CRD,2021,10811067
EST,PAS_CRD,2021,1292941
GRC,PAS_CRD,2021,32245559
ESP,PAS_CRD,2021,91898241
FIN,PAS_CRD,2021,4554497
FRA,PAS_CRD,2021,66030409
HRV,PAS_CRD,2021,4458400
HUN,PAS_CRD,2021,4665369
IRL,PAS_CRD,2021,9097359
ISL,PAS_CRD,2021,2437354
ITA,PAS_CRD,2021,59546376
LTU,PAS_CRD,2021,2464603
LUX,PAS_CRD,2021,2003521
LVA,PAS_CRD,2021,2336134
MNE,PAS_CRD,2021,1309266
MKD,PAS_CRD,2021,1266230
MLT,PAS_CRD,2021,2547912
NLD,PAS_CRD,2021,29082583
NOR,PAS_CRD,2021,14136316
POL,PAS_CRD,2021,18901863
PRT,PAS_CRD,2021,22347692
ROU,PAS_CRD,2021,10384613
RS,PAS_CRD,2021,
SWE,PAS_CRD,2021,10793224
SVN,PAS_CRD,2021,419346
SVK,PAS_CRD,2021,642078
GBR,PAS_CRD,2021,
AUT,PAS_BRD,2020,9199265
BEL,PAS_BRD,2020,9521663
BGR,PAS_BRD,2020,3738156
CHE,PAS_BRD,2020,16041797
CYP,PAS_BRD,2020,2327823
CZE,PAS_BRD,2020,3834479
DEU,PAS_BRD,2020,58038912
DNK,PAS_BRD,2020,8695183
EST,PAS_BRD,2020,858165
GRC,PAS_BRD,2020,17334623
ESP,PAS_BRD,2020,57936660
FIN,PAS_BRD,2020,5477611
FRA,PAS_BRD,2020,50943333
HRV,PAS_BRD,2020,1958355
HUN,PAS_BRD,2020,3965443
IRL,PAS_BRD,2020,8276763
ISL,PAS_BRD,2020,1531223
ITA,PAS_BRD,2020,40682780
LTU,PAS_BRD,2020,1809106
LUX,PAS_BRD,2020,1426183
LVA,PAS_BRD,2020,1995459
MNE,PAS_BRD,2020,521959
MKD,PAS_BRD,2020,709241
MLT,PAS_BRD,2020,1752445
NLD,PAS_BRD,2020,23606788
NOR,PAS_BRD,2020,13591627
POL,PAS_BRD,2020,13851170
PRT,PAS_BRD,2020,16396310
ROU,PAS_BRD,2020,6626452
RS,PAS_BRD,2020,1938516
SWE,PAS_BRD,2020,9384840
SVN,PAS_BRD,2020,287787
SVK,PAS_BRD,2020,501750
TUR,PAS_BRD,2020,56877042
GBR,PAS_BRD,2020,
AUT,PAS_CRD,2020,9168431
BEL,PAS_CRD,2020,9465828
BGR,PAS_CRD,2020,3729017
CHE,PAS_CRD,2020,16006811
CYP,PAS_CRD,2020,2270577
CZE,PAS_CRD,2020,3821372
DEU,PAS_CRD,2020,57795978
DNK,PAS_CRD,2020,8658654
EST,PAS_CRD,2020,857837
GRC,PAS_CRD,2020,17341192
ESP,PAS_CRD,2020,57797305
FIN,PAS_CRD,2020,5428622
FRA,PAS_CRD,2020,50724011
HRV,PAS_CRD,2020,1943547
HUN,PAS_CRD,2020,3962687
IRL,PAS_CRD,2020,8268297
ISL,PAS_CRD,2020,1527633
ITA,PAS_CRD,2020,40405355
LTU,PAS_CRD,2020,1804500
LUX,PAS_CRD,2020,1426310
LVA,PAS_CRD,2020,1995133
MNE,PAS_CRD,2020,521959
MKD,PAS_CRD,2020,709241
MLT,PAS_CRD,2020,1752445
NLD,PAS_CRD,2020,23594783
NOR,PAS_CRD,2020,13216883
POL,PAS_CRD,2020,13825460
PRT,PAS_CRD,2020,16548993
ROU,PAS_CRD,2020,6633447
RS,PAS_CRD,2020,1938468
SWE,PAS_CRD,2020,9317677
SVN,PAS_CRD,2020,287787
SVK,PAS_CRD,2020,500604
GBR,PAS_CRD,2020,
AUT,PAS_BRD,2019,35811789
BEL,PAS_BRD,2019,35495479
BGR,PAS_BRD,2019,11742520
CHE,PAS_BRD,2019,57267916
CYP,PAS_BRD,2019,11412130
CZE,PAS_BRD,2019,18853186
DEU,PAS_BRD,2019,227413603
DNK,PAS_BRD,2019,34894908
EST,PAS_BRD,2019,3258323
GRC,PAS_BRD,2019,56085668
ESP,PAS_BRD,2019,228634398
FIN,PAS_BRD,2019,23338254
FRA,PAS_BRD,2019,169419180
HRV,PAS_BRD,2019,10687231
HUN,PAS_BRD,2019,16730494
IRL,PAS_BRD,2019,37993913
ISL,PAS_BRD,2019,7584420
ITA,PAS_BRD,2019,161390853
LTU,PAS_BRD,2019,6509879
LUX,PAS_BRD,2019,4365569
LVA,PAS_BRD,2019,7786569
MNE,PAS_BRD,2019,2652801
MKD,PAS_BRD,2019,2353327
MLT,PAS_BRD,2019,7318357
NLD,PAS_BRD,2019,81274281
NOR,PAS_BRD,2019,40848699
POL,PAS_BRD,2019,46960641
PRT,PAS_BRD,2019,54692738
ROU,PAS_BRD,2019,21586079
RS,PAS_BRD,2019,6707217
SWE,PAS_BRD,2019,37840909
SVN,PAS_BRD,2019,1720491
SVK,PAS_BRD,2019,2847115
TUR,PAS_BRD,2019,159156950
GBR,PAS_BRD,2019,277548891
AUT,PAS_CRD,2019,35644188
BEL,PAS_CRD,2019,35385188
BGR,PAS_CRD,2019,11713068
CHE,PAS_CRD,2019,57194328
CYP,PAS_CRD,2019,11261410
CZE,PAS_CRD,2019,18832696
DEU,PAS_CRD,2019,226764086
DNK,PAS_CRD,2019,34780127
EST,PAS_CRD,2019,3258003
GRC,PAS_CRD,2019,56088527
ESP,PAS_CRD,2019,228262372
FIN,PAS_CRD,2019,23287929
FRA,PAS_CRD,2019,168726788
HRV,PAS_CRD,2019,10623239
HUN,PAS_CRD,2019,16700750
IRL,PAS_CRD,2019,37947510
ISL,PAS_CRD,2019,7584197
ITA,PAS_CRD,2019,160667939
LTU,PAS_CRD,2019,6504685
LUX,PAS_CRD,2019,4365569
LVA,PAS_CRD,2019,7785726
MNE,PAS_CRD,2019,2652801
MKD,PAS_CRD,2019,2353327
MLT,PAS_CRD,2019,7318357
NLD,PAS_CRD,2019,81192507
NOR,PAS_CRD,2019,40348437
POL,PAS_CRD,2019,46942771
PRT,PAS_CRD,2019,55007894
ROU,PAS_CRD,2019,21565865
RS,PAS_CRD,2019,6450643
SWE,PAS_CRD,2019,37614763
SVN,PAS_CRD,2019,1719039
SVK,PAS_CRD,2019,2839787
GBR,PAS_CRD,2019,277432380
AUT,PAS_BRD,2018,31334877
BEL,PAS_BRD,2018,34572750
BGR,PAS_BRD,2018,12181375
CHE,PAS_BRD,2018,56192107
CYP,PAS_BRD,2018,11095888
CZE,PAS_BRD,2018,17893941
DEU,PAS_BRD,2018,223017056
DNK,PAS_BRD,2018,34789772
EST,PAS_BRD,2018,2995830
GRC,PAS_BRD,2018,54255032
ESP,PAS_BRD,2018,220753396
FIN,PAS_BRD,2018,22268840
FRA,PAS_BRD,2018,162847023
HRV,PAS_BRD,2018,9798678
HUN,PAS_BRD,2018,15212355
IRL,PAS_BRD,2018,36459768
ISL,PAS_BRD,2018,10167367
ITA,PAS_BRD,2018,154146222
LTU,PAS_BRD,2018,6259643
LUX,PAS_BRD,2018,3988804
LVA,PAS_BRD,2018,7039116
MNE,PAS_BRD,2018,2440486
MKD,PAS_BRD,2018,2152746
MLT,PAS_BRD,2018,6805643
NLD,PAS_BRD,2018,79862217
NOR,PAS_BRD,2018,40531944
POL,PAS_BRD,2018,43754118
PRT,PAS_BRD,2018,50949917
ROU,PAS_BRD,2018,19870674
RS,PAS_BRD,2018,5521250
SWE,PAS_BRD,2018,39183627
SVN,PAS_BRD,2018,1810567
SVK,PAS_BRD,2018,2814330
TUR,PAS_BRD,2018,154730815
GBR,PAS_BRD,2018,272386344
AUT,PAS_CRD,2018,31138417
BEL,PAS_CRD,2018,34506309
BGR,PAS_CRD,2018,12137714
CHE,PAS_CRD,2018,56139549
CYP,PAS_CRD,2018,10927101
CZE,PAS_CRD,2018,17838221
DEU,PAS_CRD,2018,222422361
DNK,PAS_CRD,2018,34701139
EST,PAS_CRD,2018,2995528
GRC,PAS_CRD,2018,54258826
ESP,PAS_CRD,2018,220611429
FIN,PAS_CRD,2018,22173530
FRA,PAS_CRD,2018,161991179
HRV,PAS_CRD,2018,9731294
HUN,PAS_CRD,2018,15176493
IRL,PAS_CRD,2018,36345005
ISL,PAS_CRD,2018,10166386
ITA,PAS_CRD,2018,153352444
